	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y	Pulse length
0	38550.0	32431.0	32223.0	26345.0	33035.0	32490.0	34654.0	30336.0	25273.0	25230.0	33337.0	37262.0	35001.0	37231.0	30770.0	23515.0	26112.0	32972.0	29966.0	33031.0	26031.0	25008.0	26968.0	34102.0	34659.0	32601.0	37384.0	30483.0	31031.0	26268.0	34732.0	25518.0	32508.0	32371.0	36901.0	30438.0	0.0
1	38287.0	31677.0	32308.0	26626.0	32456.0	32999.0	34497.0	33825.0	35967.0	28088.0	28429.0	27102.0	35245.0	26603.0	33754.0	31827.0	36515.0	28872.0	30734.0	28596.0	35068.0	32637.0	31527.0	26495.0	34405.0	28131.0	26239.0	26470.0	34131.0	35939.0	34661.0	35362.0	29313.0	22658.0	27314.0	33671.0	9.999999999999999e-10
2	38522.0	32978.0	32786.0	26633.0	32100.0	32831.0	35166.0	27766.0	28826.0	29489.0	35933.0	34518.0	35381.0	35090.0	26629.0	22667.0	28278.0	35954.0	31143.0	29949.0	26220.0	27061.0	31057.0	34746.0	35453.0	36256.0	35402.0	26367.0	27990.0	28333.0	35337.0	29157.0	35801.0	32291.0	34353.0	27267.0	1.9999999999999997e-09
3	39767.0	35268.0	34796.0	29161.0	35011.0	35026.0	36500.0	38708.0	34012.0	26893.0	29241.0	32913.0	36723.0	32785.0	38190.0	33349.0	35183.0	29366.0	33269.0	35586.0	36642.0	32097.0	30685.0	28685.0	37187.0	29601.0	32657.0	33179.0	38070.0	34474.0	37615.0	35371.0	29254.0	27061.0	32478.0	38633.0	2.9999999999999996e-09
4	39346.0	34154.0	34161.0	28331.0	34202.0	34002.0	36796.0	29229.0	34448.0	32965.0	37793.0	32211.0	36062.0	32062.0	28663.0	27235.0	34577.0	37499.0	32848.0	29297.0	30367.0	32146.0	35949.0	33985.0	36823.0	37290.0	32327.0	25347.0	29087.0	33964.0	36010.0	34079.0	37424.0	31223.0	31544.0	28258.0	3.9999999999999994e-09
5	37411.0	32744.0	32030.0	25884.0	31821.0	32156.0	34735.0	34360.0	27276.0	23312.0	27942.0	34637.0	35404.0	34173.0	34683.0	26758.0	27979.0	28981.0	31627.0	34451.0	29422.0	25517.0	26315.0	29998.0	34049.0	28042.0	34414.0	31362.0	34267.0	27781.0	34810.0	28284.0	27854.0	27283.0	33922.0	34011.0	4.999999999999999e-09
6	37333.0	32134.0	31475.0	27386.0	31480.0	31781.0	34519.0	30031.0	35377.0	31428.0	32372.0	27516.0	33774.0	25776.0	29519.0	31126.0	35552.0	32056.0	29535.0	27150.0	32110.0	33382.0	33025.0	27368.0	34842.0	33119.0	27300.0	24278.0	29731.0	35382.0	33575.0	35370.0	32933.0	24932.0	26071.0	29786.0	5.999999999999999e-09
7	37251.0	32030.0	32539.0	25961.0	32676.0	31709.0	33350.0	29636.0	26847.0	25689.0	31689.0	36182.0	34325.0	35983.0	30456.0	23396.0	27130.0	31906.0	29854.0	33244.0	26404.0	25252.0	27352.0	34863.0	33435.0	32583.0	35937.0	30683.0	30199.0	26411.0	34433.0	26863.0	32238.0	31952.0	35395.0	31180.0	6.999999999999999e-09
8	38682.0	33774.0	33115.0	28021.0	34186.0	34111.0	36091.0	35507.0	36637.0	29122.0	30376.0	29385.0	35044.0	28101.0	35818.0	34192.0	37176.0	30119.0	31032.0	31484.0	35808.0	33876.0	32551.0	28185.0	35931.0	29760.0	28882.0	28876.0	35482.0	36558.0	35369.0	36490.0	29435.0	24427.0	28915.0	35299.0	7.999999999999999e-09
9	39130.0	33690.0	33328.0	27865.0	33822.0	33968.0	36276.0	28578.0	30291.0	31260.0	37173.0	34526.0	36617.0	34181.0	28747.0	25423.0	31976.0	36794.0	32910.0	30876.0	27769.0	29443.0	33629.0	35610.0	35539.0	36622.0	34547.0	27616.0	29028.0	30768.0	36201.0	31459.0	36602.0	32514.0	34752.0	28624.0	8.999999999999998e-09
10	38336.0	32273.0	32467.0	26759.0	33013.0	32562.0	34802.0	36627.0	31215.0	25105.0	27896.0	32540.0	34466.0	31281.0	36941.0	31024.0	32314.0	27149.0	31388.0	34502.0	34153.0	28989.0	27773.0	28614.0	35150.0	27474.0	32954.0	31355.0	36248.0	31122.0	34763.0	31354.0	27452.0	25626.0	31864.0	36038.0	9.999999999999999e-09
11	40573.0	35400.0	35017.0	28559.0	34839.0	34678.0	37183.0	30702.0	36227.0	34359.0	37638.0	31659.0	37920.0	31618.0	31176.0	30129.0	37062.0	37808.0	33571.0	29192.0	32380.0	33752.0	37087.0	33387.0	37467.0	37857.0	31377.0	26172.0	30075.0	36305.0	37338.0	37126.0	37401.0	29964.0	30847.0	30343.0	1.1e-08
12	36292.0	31126.0	30591.0	24841.0	30305.0	31445.0	34806.0	31964.0	25774.0	21988.0	28529.0	34414.0	34718.0	34357.0	32095.0	24889.0	26342.0	28430.0	30895.0	32986.0	27226.0	23660.0	26330.0	31296.0	33619.0	29040.0	34638.0	29389.0	32164.0	26002.0	34370.0	25590.0	28661.0	27676.0	34220.0	33095.0	1.1999999999999998e-08
13	38205.0	31932.0	32329.0	27056.0	32832.0	32475.0	35960.0	31618.0	36212.0	30105.0	31652.0	27881.0	35700.0	27555.0	32544.0	30948.0	36214.0	31500.0	32266.0	28493.0	34012.0	32382.0	33947.0	28234.0	35659.0	30966.0	27529.0	24722.0	33171.0	36141.0	35465.0	35390.0	31154.0	23751.0	28887.0	32320.0	1.2999999999999997e-08
14	39488.0	33221.0	34262.0	27144.0	34229.0	34208.0	36747.0	29080.0	30284.0	29652.0	36078.0	36326.0	37509.0	36092.0	29570.0	24620.0	30213.0	36530.0	33611.0	31244.0	28176.0	27916.0	33214.0	36637.0	36512.0	36183.0	35618.0	27840.0	30560.0	31077.0	36591.0	30484.0	35381.0	32788.0	36517.0	30445.0	1.3999999999999998e-08
15	38264.0	32511.0	32402.0	27069.0	32926.0	33424.0	35404.0	36241.0	32958.0	25796.0	28405.0	32202.0	35232.0	31740.0	36683.0	31766.0	33077.0	28296.0	31057.0	34022.0	34754.0	30158.0	29243.0	28147.0	35598.0	28205.0	31371.0	30822.0	36831.0	32734.0	35342.0	32668.0	27835.0	25569.0	31579.0	36356.0	1.5e-08
16	39378.0	33487.0	34243.0	28238.0	34231.0	34029.0	36255.0	29370.0	35014.0	33425.0	37515.0	31195.0	36207.0	31540.0	29114.0	27934.0	35039.0	37177.0	32719.0	28245.0	31183.0	32794.0	35953.0	33416.0	36057.0	37117.0	31345.0	24991.0	28983.0	34742.0	36678.0	35071.0	37082.0	30890.0	31690.0	28959.0	1.5999999999999998e-08
17	38810.0	34128.0	34184.0	27794.0	33116.0	33705.0	36300.0	35404.0	29381.0	24608.0	30094.0	36575.0	35974.0	36166.0	35405.0	27614.0	29409.0	30066.0	32840.0	35683.0	30705.0	27234.0	28062.0	32070.0	36733.0	30755.0	36111.0	33081.0	35318.0	29541.0	36471.0	29395.0	30217.0	29649.0	36447.0	35267.0	1.6999999999999997e-08
18	38213.0	33064.0	33185.0	28001.0	33300.0	33601.0	35867.0	32314.0	36737.0	31314.0	33012.0	28885.0	35479.0	29260.0	32632.0	31475.0	36454.0	32058.0	33194.0	28772.0	34742.0	33515.0	34496.0	28879.0	36095.0	32692.0	28821.0	26600.0	32824.0	36031.0	35852.0	36507.0	32969.0	26355.0	28953.0	31970.0	1.7999999999999996e-08
19	39477.0	34366.0	33820.0	28090.0	34133.0	34680.0	36632.0	30803.0	30451.0	28347.0	35410.0	36644.0	37092.0	36174.0	31329.0	25808.0	30518.0	35323.0	34145.0	32832.0	29128.0	27430.0	32083.0	35859.0	37741.0	35739.0	36252.0	29866.0	30878.0	29737.0	37266.0	30273.0	35741.0	32717.0	36721.0	31379.0	1.8999999999999998e-08
