	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y
0	39100.0	32761.0	32647.0	26565.0	32656.0	32804.0	33469.0	24415.0	32128.0	33734.0	37807.0	30521.0	33180.0	30998.0	24835.0	24348.0	32314.0	38102.0	27345.0	24926.0	26612.0	31627.0	34893.0	33389.0	33508.0	37982.0	30394.0	23025.0	24651.0	32038.0	33469.0	32137.0	38273.0	32030.0	30143.0	24271.0
1	38656.0	32370.0	32029.0	25661.0	31806.0	32503.0	32683.0	24200.0	31257.0	32692.0	37530.0	30136.0	32972.0	30024.0	24542.0	23856.0	31047.0	37569.0	27320.0	24081.0	25263.0	31432.0	33866.0	32927.0	33201.0	37766.0	29477.0	22160.0	23946.0	30893.0	32936.0	31160.0	37752.0	31256.0	29307.0	23944.0
2	39007.0	32356.0	32845.0	25683.0	32812.0	32877.0	33506.0	24096.0	31824.0	33262.0	37863.0	30987.0	33679.0	30527.0	24899.0	24433.0	32204.0	38115.0	28164.0	25573.0	27168.0	32104.0	35048.0	34038.0	33358.0	37594.0	30697.0	22761.0	25448.0	32518.0	33647.0	31876.0	37813.0	32265.0	31007.0	25174.0
3	39512.0	34124.0	33871.0	28016.0	33690.0	34014.0	34119.0	25534.0	32955.0	34494.0	39416.0	32155.0	34618.0	30717.0	26931.0	25024.0	34218.0	39884.0	27696.0	26015.0	27554.0	33097.0	35583.0	34523.0	34155.0	38779.0	31959.0	24299.0	25958.0	33213.0	34076.0	33454.0	39226.0	32747.0	32018.0	25622.0
4	39484.0	33650.0	34111.0	28421.0	34021.0	34103.0	34271.0	26918.0	33423.0	35057.0	38555.0	31986.0	34747.0	32160.0	27379.0	26716.0	33423.0	38773.0	29579.0	26847.0	28389.0	33301.0	35210.0	34207.0	34597.0	38413.0	31953.0	25706.0	26620.0	33297.0	34698.0	33231.0	38767.0	33096.0	32235.0	26959.0
5	38051.0	32086.0	31818.0	25983.0	32081.0	31603.0	32763.0	25165.0	31376.0	32467.0	36572.0	30178.0	32835.0	29776.0	25018.0	25049.0	31294.0	36732.0	27950.0	24530.0	25573.0	31840.0	34102.0	32909.0	32783.0	36494.0	30242.0	24009.0	25017.0	31208.0	32205.0	30701.0	36563.0	31300.0	29822.0	24825.0
6	37429.0	32371.0	32113.0	26595.0	31523.0	32505.0	32463.0	25185.0	31685.0	32962.0	36745.0	29716.0	32837.0	30223.0	25105.0	24758.0	31585.0	37481.0	27425.0	25167.0	26871.0	31202.0	34610.0	32692.0	32140.0	36268.0	30139.0	23421.0	25807.0	31142.0	32879.0	31153.0	37559.0	30545.0	29472.0	24551.0
7	37692.0	31763.0	32844.0	26153.0	32694.0	32280.0	33007.0	24006.0	31339.0	32710.0	37021.0	30517.0	33260.0	30068.0	24720.0	25608.0	31412.0	36782.0	27425.0	24467.0	26675.0	31535.0	33884.0	32687.0	32597.0	37371.0	30242.0	23766.0	25143.0	31648.0	32415.0	31255.0	36762.0	31345.0	30135.0	25035.0
8	38724.0	33470.0	33494.0	27799.0	33536.0	33268.0	34349.0	26180.0	32700.0	33807.0	38085.0	31495.0	33952.0	31832.0	26770.0	26298.0	32699.0	38255.0	29225.0	26667.0	28037.0	32591.0	35185.0	34114.0	34473.0	38205.0	31480.0	24843.0	26624.0	33103.0	34114.0	33535.0	37901.0	33019.0	31711.0	26424.0
9	38776.0	33800.0	34019.0	28866.0	33279.0	33873.0	34570.0	26562.0	33524.0	34140.0	38675.0	31737.0	34973.0	31961.0	26588.0	27120.0	33363.0	38420.0	29531.0	26834.0	27780.0	33533.0	35300.0	34799.0	34464.0	38720.0	31900.0	25657.0	26853.0	33849.0	34274.0	33309.0	38175.0	33314.0	31979.0	26806.0
10	37564.0	32165.0	32069.0	27090.0	32794.0	33015.0	32645.0	23920.0	32309.0	34562.0	37374.0	31181.0	33090.0	30038.0	25233.0	25390.0	32209.0	37591.0	27592.0	24735.0	26515.0	31702.0	34614.0	32892.0	33709.0	36876.0	30350.0	23729.0	25269.0	31562.0	33078.0	31687.0	37263.0	31984.0	30696.0	24373.0
11	40320.0	34899.0	34909.0	29888.0	35725.0	35129.0	35620.0	27574.0	34280.0	35832.0	39646.0	33146.0	35990.0	33274.0	27818.0	28019.0	34637.0	40062.0	30532.0	28148.0	28923.0	34044.0	36782.0	35657.0	35765.0	39932.0	33295.0	25903.0	27337.0	34334.0	35621.0	34589.0	40052.0	34179.0	33088.0	27501.0
12	36434.0	31391.0	30928.0	25011.0	31249.0	31270.0	31705.0	23987.0	30240.0	31333.0	35800.0	28000.0	32133.0	28765.0	23302.0	23191.0	30108.0	36143.0	25039.0	23134.0	24710.0	30390.0	32887.0	31510.0	31356.0	36688.0	28182.0	22236.0	24613.0	30188.0	31522.0	30624.0	36107.0	29917.0	29500.0	23414.0
13	38111.0	32319.0	32561.0	26359.0	32552.0	32505.0	33185.0	25700.0	32518.0	33436.0	37516.0	30662.0	33078.0	30424.0	24951.0	24420.0	32022.0	37788.0	27575.0	24992.0	26529.0	31765.0	35037.0	33063.0	33173.0	37141.0	30726.0	22915.0	24855.0	31771.0	33542.0	31563.0	37911.0	31476.0	31129.0	25838.0
14	39713.0	34089.0	34192.0	28516.0	33470.0	33421.0	34767.0	26147.0	33458.0	34381.0	38682.0	32554.0	34559.0	31678.0	27116.0	26279.0	33113.0	38711.0	28899.0	25734.0	28790.0	33551.0	35626.0	34156.0	34779.0	38818.0	32150.0	24321.0	26620.0	33058.0	34475.0	32979.0	38714.0	32884.0	31728.0	26783.0
15	38520.0	33256.0	33176.0	27655.0	32729.0	32951.0	33532.0	25684.0	32356.0	33869.0	37364.0	31250.0	33330.0	31090.0	26252.0	26373.0	32767.0	38153.0	28265.0	26117.0	27992.0	32628.0	35336.0	33781.0	33859.0	37401.0	31955.0	24962.0	26375.0	32991.0	33814.0	32946.0	37935.0	32403.0	31335.0	26233.0
16	39495.0	33705.0	33439.0	28293.0	34182.0	34006.0	34778.0	26879.0	33778.0	34689.0	38491.0	31915.0	35086.0	31811.0	26892.0	27324.0	33657.0	38602.0	29712.0	26904.0	28057.0	33708.0	36098.0	34582.0	34734.0	38465.0	32273.0	25525.0	26809.0	33690.0	34672.0	33804.0	38868.0	33046.0	32052.0	26812.0
