	<n>	f
0	-0.011520186559290897	3670000000.0
1	-0.023336758878397777	3670200000.0
2	-0.025629859255040997	3670400000.0
3	-0.03669592600458939	3670600000.0
4	-0.02707298602154	3670800000.0
5	-0.033101431908987754	3671000000.0
6	-0.029731177087873806	3671200000.0
7	-0.025380712757479933	3671400000.0
8	-0.043510137791018685	3671600000.0
9	-0.011310124778843526	3671800000.0
10	-0.033673490629674944	3672000000.0
11	-0.0322143051052198	3672200000.0
12	-0.05544534051988628	3672400000.0
13	-0.04344508310200442	3672600000.0
14	-0.028367432121816086	3672800000.0
15	-0.05080180350712516	3673000000.0
16	-0.037766915826846034	3673200000.0
17	-0.03334753002931522	3673400000.0
18	-0.056066677280685304	3673600000.0
19	-0.06186791962555208	3673800000.0
20	-0.04669217859016858	3674000000.0
21	-0.03397670897025154	3674200000.0
22	-0.042290530213807485	3674400000.0
23	-0.05126709155111255	3674600000.0
24	-0.05449692789709191	3674800000.0
25	-0.053615531349037786	3675000000.0
26	-0.058162675570949285	3675200000.0
27	-0.05069084753465133	3675400000.0
28	-0.03094829554071641	3675600000.0
29	-0.04622381564768546	3675800000.0
30	-0.029265474855715762	3676000000.0
31	-0.02465273786154269	3676200000.0
32	-0.02960840914980568	3676400000.0
33	-0.029207323149084214	3676600000.0
34	-0.04653164913299028	3676800000.0
35	-0.04676289864252452	3677000000.0
36	-0.01046091820024935	3677200000.0
37	-0.039603806756555233	3677400000.0
38	-0.027711183518240517	3677600000.0
39	-0.05401122484759975	3677800000.0
40	-0.055217560257112004	3678000000.0
41	-0.02797302311325253	3678200000.0
42	-0.045842105217969456	3678400000.0
43	-0.042897559153227766	3678600000.0
44	-0.0550930357164901	3678800000.0
45	-0.04806768715428294	3679000000.0
46	-0.04294992921025379	3679200000.0
47	-0.058422532311471244	3679400000.0
48	-0.06487261838576626	3679600000.0
49	-0.0367831679132335	3679800000.0
50	-0.06845752898708445	3680000000.0
51	-0.0450622308436677	3680200000.0
52	-0.057487428731791246	3680400000.0
53	-0.07432209421613475	3680600000.0
54	-0.05159473143024629	3680800000.0
55	-0.06790210894252453	3681000000.0
56	-0.03620987754458518	3681200000.0
57	-0.06359276930556347	3681400000.0
58	-0.0635686117700747	3681600000.0
59	-0.046795515600667165	3681800000.0
60	-0.07177517435333992	3682000000.0
61	-0.055851637487010206	3682200000.0
62	-0.06633621954549783	3682400000.0
63	-0.0313251457538324	3682600000.0
64	-0.057410097134521686	3682800000.0
65	-0.061168117535349766	3683000000.0
66	-0.051763474884764196	3683200000.0
67	-0.0661925085585832	3683400000.0
68	-0.052053877119837534	3683600000.0
69	-0.057854851690219845	3683800000.0
70	-0.057519979964374746	3684000000.0
71	-0.045073213141978326	3684200000.0
72	-0.05475238671377153	3684400000.0
73	-0.041203266162382776	3684600000.0
74	-0.0559285568948785	3684800000.0
75	-0.06250143527474492	3685000000.0
76	-0.05196375283936041	3685200000.0
77	-0.05200655543846298	3685400000.0
78	-0.050561374216617404	3685600000.0
79	-0.04274070556492832	3685800000.0
80	-0.050567766484232377	3686000000.0
81	-0.06716867448769398	3686200000.0
82	-0.05989686790186017	3686400000.0
83	-0.059391588285623534	3686600000.0
84	-0.03996491899773198	3686800000.0
85	-0.05790894517630118	3687000000.0
86	-0.049021544219356124	3687200000.0
87	-0.04857155279378556	3687400000.0
88	-0.049416641231211346	3687600000.0
89	-0.06039763751076922	3687800000.0
90	-0.06361689620169801	3688000000.0
91	-0.05493266255583865	3688200000.0
92	-0.057282557007778186	3688400000.0
93	-0.052760677782457834	3688600000.0
94	-0.03640695638110257	3688800000.0
95	-0.06176595063064355	3689000000.0
96	-0.07024114773053863	3689200000.0
97	-0.06250034366836718	3689400000.0
98	-0.03935179710740207	3689600000.0
99	-0.05359809945946467	3689800000.0
100	-0.07648139830844865	3690000000.0
101	-0.0629542837908274	3690200000.0
102	-0.05023297566101908	3690400000.0
103	-0.05941737446710485	3690600000.0
104	-0.07066582128170915	3690800000.0
105	-0.05342350532883831	3691000000.0
106	-0.056172712965139086	3691200000.0
107	-0.06152600408950685	3691400000.0
108	-0.06344301499827545	3691600000.0
109	-0.06510300234889112	3691800000.0
110	-0.06453717928312334	3692000000.0
111	-0.05855908392039103	3692200000.0
112	-0.07120210655065233	3692400000.0
113	-0.06560732242232833	3692600000.0
114	-0.06703243778226974	3692800000.0
115	-0.06076903060543812	3693000000.0
116	-0.0597806689344864	3693200000.0
117	-0.0606515835004312	3693400000.0
118	-0.06761899207676818	3693600000.0
119	-0.05041554739988129	3693800000.0
120	-0.06999268383671882	3694000000.0
121	-0.04806649706496455	3694200000.0
122	-0.067596418863132	3694400000.0
123	-0.06927359691395427	3694600000.0
124	-0.04620690575395492	3694800000.0
125	-0.051287230978837306	3695000000.0
126	-0.05313165225757594	3695200000.0
127	-0.06723411302811513	3695400000.0
128	-0.07487065829604983	3695600000.0
129	-0.05711121479575916	3695800000.0
130	-0.0695843669056265	3696000000.0
131	-0.07234748527521448	3696200000.0
132	-0.05647183951775266	3696400000.0
133	-0.06137654276494624	3696600000.0
134	-0.06252872471387029	3696800000.0
135	-0.0611028010890685	3697000000.0
136	-0.04980214502386188	3697200000.0
137	-0.04416876886941815	3697400000.0
138	-0.0747942312508543	3697600000.0
139	-0.061609050574124996	3697800000.0
140	-0.06451849428040506	3698000000.0
141	-0.050623495188094385	3698200000.0
142	-0.06863439315284404	3698400000.0
143	-0.06358321775115916	3698600000.0
144	-0.039068864161940234	3698800000.0
145	-0.05891229500309142	3699000000.0
146	-0.05349107163455682	3699200000.0
147	-0.06171161928414025	3699400000.0
148	-0.07026790251117283	3699600000.0
149	-0.03988041239756206	3699800000.0
150	-0.054048228119148174	3700000000.0
151	-0.04216026729497656	3700200000.0
152	-0.07994895815404024	3700400000.0
153	-0.04196667751894051	3700600000.0
154	-0.037319375363303854	3700800000.0
155	-0.048379249493968504	3701000000.0
156	-0.056607859657465995	3701200000.0
